API#,Well Name,County,Operator,Formation,Well Status,TVD (ft),MD (FT),Spud Date,Date of First Production,Last Producing Month,Lateral Length (ft),MBO (first 36 mo.),MMCF (first 36 mo.),MBW (first 36 mo.),MBO,MMcf,MBW,BO/ft,GOR,WOR,Qi_oil,De_oil,b-factor_oil,Qi_gas,De_gas,b-factor_gas,Qi_water,De_water,b-factor_water
4230134591,LINK VJ RANCH 24-13 E 5H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,240","21,415",9/11/2019,1/1/2020,11/1/2022,"9,739",,,,979,"3,604","6,960",100,"3,683",7.11,"39,880",94,1.1,"131,415",92,1.1,"188,344",84,1.1
4230132877,TABASCO CAT 54-2-6 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,595","19,630",4/23/2016,8/1/2016,11/1/2022,"7,453",384,955,"1,765",915,"3,075","4,658",123,"3,361",5.09,"1,000",65,0.8,"2,400",60,1.0,"4,400",82,1.1
4230133266,WALNUT 55-1-46 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,210","18,558",4/20/2017,8/1/2017,11/1/2022,"2,858",392,"1,180","2,569",888,"2,917","4,794",311,"3,285",5.40,"41,320",93,1.1,"123,285",90,1.1,"174,752",93,1.1
4230132963,HICKORY 55-2-1 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,492","21,285",10/28/2016,3/1/2017,5/1/2022,"9,368",601,"1,638","1,511","1,330","2,624","2,207",142,"1,973",1.66,900,25,1.0,"2,400",65,0.7,"2,000",97,1.1
4230132586,BULLHEAD STATE 55-1-44 2H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"10,914","15,221",6/22/2015,10/1/2015,10/1/2022,"3,854",305,905,164,734,"2,485",183,191,"3,384",0.25,"18,125",70,1.1,"60,458",65,1.1,"12,763",58,0.0
4230132652,HUESO SALTO STATE 55-2-48 LOV 2H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A LOWER,PRODUCING,"11,234","15,913",9/11/2015,12/1/2015,11/1/2022,"4,198",179,768,902,577,"2,546","1,661",137,"4,412",2.88,250,35,1.0,"1,300",40,1.0,"1,400",85,1.1
4230133804,TIGER 55-2-12 LOV 6H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,419","16,505",1/7/2019,5/1/2019,10/1/2022,"4,937",137,397,676,255,746,"1,150",52,"2,925",4.51,640,99,1.0,"1,900",99,1.0,"3,570",99,1.1
4230132988,BADLANDS 54-2-19 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,516","16,282",10/21/2016,3/1/2017,11/1/2022,"4,344",202,724,"1,018",524,"2,272","1,313",121,"4,336",2.51,400,63,1.0,"1,300",52,1.1,"1,700",99,1.1
4230132878,KINGSTON 54-2-17 UNIT 2H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,643","18,810",5/11/2016,10/1/2016,11/1/2022,"6,357",304,836,"2,187",554,"2,597","5,317",87,"4,688",9.60,650,60,1.0,"1,700",65,1.2,"5,000",81,1.1
4230134027,STATE PACIFIC 55-T2-8 W107H,LOVING,BPX OPERATING COMPANY,WOLFCAMP A LOWER,PRODUCING,"11,068","15,937",10/2/2018,1/1/2019,11/1/2022,"4,398",228,678,679,652,"1,914","2,024",148,"2,936",3.10,440,60,1.1,"1,200",55,1.1,"1,346",60,1.1
4230133052,TORTUGA 54-2-5 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,521","16,872",1/30/2017,2/1/2018,11/1/2022,"4,822",421,881,"1,917","1,054","2,566","4,487",219,"2,434",4.26,"24,966",69,1.1,"45,251",54,1.1,"112,974",74,1.1
4230132968,AMARILLO BY MORNING 54-T2-42 2H,LOVING,BPX OPERATING COMPANY,WOLFCAMP A LOWER,PRODUCING,"11,391","16,335",9/1/2016,1/1/2017,11/1/2022,"4,596",122,455,908,351,"1,214","1,264",76,"3,459",3.60,460,97,1.3,"2,300",97,1.1,"4,800",99,1.1
4230133925,BULLHEAD STATE 55-1-45 UNIT B 5H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"10,963","18,439",6/4/2018,11/1/2018,11/1/2022,"6,737",421,"1,261","2,286",903,"2,985",300,134,"3,307",0.33,"33,416",90,1.1,"93,024",82,1.1,"199,906",82,1.1
4230134787,HERON 54-2-4 UNIT 7H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,757","22,576",11/9/2019,2/1/2020,11/1/2022,"10,367",,,,610,"1,976","1,920",59,"3,243",3.15,"24,967",97,1.1,"82,272",96,1.1,"119,976",100,1.1
4230132744,ROSS 55-2-46 2H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,073","15,750",11/29/2015,6/1/2016,10/1/2022,"4,134",214,657,453,601,"2,750",698,145,"4,576",1.16,270,35,0.8,800,25,1.1,"1,100",99,1.1
4230133861,TAHITI 55-2-17 LOV 2H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"11,001","15,856",4/28/2018,7/1/2018,10/1/2022,"4,421",160,658,"1,002",400,"1,523","1,162",90,"3,813",2.91,"15,141",87,1.1,"64,553",91,1.1,"120,960",95,1.1
4230133491,CYCLONE 54-2-15 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,702","19,169",5/11/2018,7/1/2018,11/1/2022,"7,025",265,889,"2,133",709,"2,258","2,396",101,"3,185",3.38,"15,556",63,1.1,"47,508",63,1.1,"145,082",56,0.0
4230133797,LINK-VJ RANCH 55-2-16 LOV 3H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"11,071","21,705",3/13/2018,8/1/2018,10/1/2022,"10,035",482,"1,712","1,564",934,"3,719","1,726",93,"3,981",1.85,"28,264",86,1.1,"83,620",70,1.1,"94,811",53,1.1
4230132980,SUNSHINE 54-2-21 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,773","16,448",10/14/2016,7/1/2017,11/1/2022,"4,224",186,580,"2,510",562,"1,839","3,851",133,"3,272",6.85,330,55,1.1,"1,000",50,1.1,"6,100",99,1.1
4230132698,TAHITI 55-2-33 LOV UNIT A 2H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"11,117","18,525",1/20/2016,6/1/2016,10/1/2022,"6,656",253,889,"1,387",682,"3,275","1,475",102,"4,802",2.16,"8,851",51,1.1,"32,354",36,1.1,"100,000",62,1.1
4230132064,STATE PROTECTION 55-T2-2 3H,LOVING,BPX OPERATING COMPANY,WOLFCAMP A LOWER,PRODUCING,"11,463","15,927",12/4/2013,4/1/2014,11/1/2022,"4,347",211,733,991,575,"2,897","1,498",132,"5,038",2.61,480,75,1.1,"1,200",60,1.1,"4,000",99,1.1
4230132746,LINDLEY 54-2-16 LOV 3H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,783","16,673",11/18/2015,6/1/2016,11/1/2022,"4,374",172,383,"1,613",455,"1,197","3,487",104,"2,631",7.66,450,80,1.1,"1,200",80,1.1,"4,800",93,1.1
