API,Formation,Formation Top MD,Formation Top TVD
42301345880000,BRUSHY CANYON,6429,6429
42301345880000,BELL CANYON,4092,4092
42301345880000,CHERRY CANYON,5032,5032
42301345880000,DELAWARE,4092,4092
42301345880000,BONE SPRINGS,8976,8976
42301340920000,CHERRY CANYON,5001,5001
42301340920000,DELAWARE,4051,4051
42301340920000,BRUSHY CANYON,6351,6351
42301340920000,BONE SPRINGS,7971,7971
42301340920000,WOLFCAMP,11141,11009
42301340920000,BELL CANYON,4051,4051
42301340860000,CHERRY CANYON,4925,4925
42301340860000,BELL CANYON,3959,3959
42301340860000,BONE SPRINGS,7884,7884
42301340860000,BRUSHY CANYON,6266,6266
42301340860000,DELAWARE,3959,3959
42301340860000,WOLFCAMP,11058,10950
42301340900000,CHERRY CANYON,4861,4861
42301340900000,BELL CANYON,3951,3951
42301340900000,BONE SPRINGS,7921,7921
42301340900000,WOLFCAMP,11063,10971
42301340900000,BRUSHY CANYON,6284,6284
42301340900000,DELAWARE,3951,3951
42301340910000,DELAWARE,4061,4061
42301340910000,WOLFCAMP,11053,11019
42301340910000,BONE SPRINGS,7981,7981
42301340910000,BELL CANYON,4061,4061
42301340910000,CHERRY CANYON,5011,5011
42301340910000,BRUSHY CANYON,6361,6361
42301340870000,WOLFCAMP,11058,10955
42301340870000,BELL CANYON,3959,3959
42301340870000,CHERRY CANYON,4925,4925
42301340870000,BRUSHY CANYON,6266,6266
42301340870000,DELAWARE,3959,3959
42301340870000,BONE SPRINGS,7884,7884
42301340890000,CHERRY CANYON,4847,4847
42301340890000,BONE SPRINGS,7907,7907
42301340890000,BRUSHY CANYON,6270,6270
42301340890000,DELAWARE,3937,3937
42301340890000,WOLFCAMP,11044,10957
42301340890000,BELL CANYON,3937,3937
42301340010000,BRUSHY CANYON,5975,5968
42301340010000,DELAWARE,3835,3831
42301340010000,BELL CANYON,3870,3866
42301340010000,BONE SPRINGS,7770,7762
42301340010000,WOLFCAMP,10855,10844
42301340010000,CHERRY CANYON,4807,4802
42301340020000,CHERRY CANYON,4854,4807
42301340020000,BRUSHY CANYON,6035,5969
42301340020000,BONE SPRINGS,7831,7765
42301340020000,BELL CANYON,3888,3861
42301340020000,WOLFCAMP,10919,10843
42301340020000,DELAWARE,3857,3831
42301337980000,DELAWARE,3755,3708
42301337980000,BELL CANYON,3782,3735
42301337980000,BRUSHY CANYON,6074,6000
42301337980000,WOLFCAMP,10810,10721
42301337980000,CHERRY CANYON,4790,4729
42301337980000,BONE SPRINGS,7798,7722
42301337960000,BELL CANYON,3796,3739
42301337960000,WOLFCAMP,10923,10758
42301337960000,BONE SPRINGS,7817,7737
42301337960000,BRUSHY CANYON,5999,5922
42301337960000,DELAWARE,3770,3713
42301337960000,CHERRY CANYON,4774,4705
42301337970000,BONE SPRINGS,7812,7748
42301337970000,CHERRY CANYON,4784,4735
42301337970000,BRUSHY CANYON,6011,5948
42301337970000,BELL CANYON,3781,3746
42301337970000,DELAWARE,3752,3718
42301337970000,WOLFCAMP,10833,10754
42301336350000,DELAWARE,4049,4049
42301336350000,BRUSHY CANYON,6394,6394
42301336350000,BONE SPRINGS,7978,7978
42301336350000,BELL CANYON,4049,4049
42301336350000,WOLFCAMP,11067,11031
42301336350000,CHERRY CANYON,4909,4909
42301336340000,DELAWARE,4049,4049
42301336340000,BONE SPRINGS,7978,7978
42301336340000,CHERRY CANYON,4909,4909
42301336340000,BRUSHY CANYON,6394,6394
42301336340000,WOLFCAMP,11102,11031
42301336340000,BELL CANYON,4049,4049
42301336330000,BELL CANYON,4030,4030
42301336330000,DELAWARE,4030,4030
42301336330000,WOLFCAMP,11053,11011
42301336330000,BONE SPRINGS,7958,7958
42301336330000,BRUSHY CANYON,6374,6374
42301336330000,CHERRY CANYON,4889,4889
42301336320000,BRUSHY CANYON,6374,6374
42301336320000,CHERRY CANYON,4889,4889
42301336320000,BONE SPRINGS,7958,7958
42301336320000,WOLFCAMP,11105,11011
42301336320000,DELAWARE,4030,4030
42301336320000,BELL CANYON,4030,4030
42301336310000,WOLFCAMP,11018,10985
42301336310000,BONE SPRINGS,7970,7970
42301336310000,DELAWARE,4031,4031
42301336310000,BRUSHY CANYON,6376,6376
42301336310000,BELL CANYON,4031,4031
42301336310000,CHERRY CANYON,4891,4891
42301336300000,BONE SPRINGS,7970,7970
42301336300000,DELAWARE,4031,4031
42301336300000,BELL CANYON,4031,4031
42301336300000,BRUSHY CANYON,6376,6376
42301336300000,CHERRY CANYON,4891,4891
42301336300000,WOLFCAMP,11029,10985
42301332230000,BELL CANYON,3834,3745
42301332230000,DELAWARE,3808,3721
42301332230000,CHERRY CANYON,4864,4736
42301332230000,BRUSHY CANYON,6070,5918
42301332230000,BONE SPRINGS,7882,7721
42301332230000,WOLFCAMP,10902,10720
42301332070000,DELAWARE,3985,3985
42301332070000,CHERRY CANYON,4845,4845
42301332070000,BELL CANYON,3985,3985
42301332070000,BONE SPRINGS,7914,7914
42301332070000,BRUSHY CANYON,6330,6330
42301332070000,WOLFCAMP,11060,10948
42301332080000,CHERRY CANYON,4845,4845
42301332080000,BRUSHY CANYON,6330,6330
42301332080000,BELL CANYON,3985,3985
42301332080000,BONE SPRINGS,7914,7914
42301332080000,DELAWARE,3985,3985
42301332080000,WOLFCAMP,10983,10948
42301321280000,CHERRY CANYON,4690,4690
42301321280000,BRUSHY CANYON,6246,6246
42301321280000,AVALON LWR,8397,8393
42301321280000,AVALON MID,7984,7980
42301321280000,AVALON UPR,7647,7643
42301321280000,BONE SPRING 1ST,8684,8680
42301321280000,BONE SPRING 2ND,8909,8905
42301321280000,BONE SPRING 2ND SS,9309,9305
42301321280000,BONE SPRING 3RD,9759,9755
42301321280000,BONE SPRING 3RD SS,10359,10336
42301321280000,BELL CANYON,3771,3771
42301321280000,BONE SPRINGS,7697,7637
42301321280000,DELAWARE,3741,3741
42301321280000,WOLFCAMP,10682,10682
42301330970000,CHERRY CANYON,4951,4932
42301330970000,BRUSHY CANYON,6212,6182
42301330970000,BONE SPRINGS,7961,7928
42301330970000,BELL CANYON,3986,3974
42301330970000,WOLFCAMP,11021,10913
42301330970000,DELAWARE,3960,3950
42301322570000,CHERRY CANYON,4990,4990
42301322570000,DELAWARE,3975,3975
42301322570000,BELL CANYON,3975,3975
42301322570000,BRUSHY CANYON,5960,5960
42301322570000,WOLFCAMP,11110,11110
42301322570000,BONE SPRINGS,9100,9100
42301315600000,CHERRY CANYON,4690,4690
42301315600000,BONE SPRING,7590,7590
42301315600000,BRUSHY CANYON,5960,5960
