API Number,True Vertical Depth,Latitude,Longitude,BO/ft,GOR,WOR,FirstProdDate,,,
4230132757,7197,31.88389,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7291,31.88388,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7387,31.88388,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7482,31.88387,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7576,31.88387,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7671,31.88386,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7765,31.88385,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7859,31.88385,103.73771,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7954,31.88384,103.73771,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8049,31.88384,103.73771,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8144,31.88383,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8239,31.88383,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8334,31.88382,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8428,31.88382,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8523,31.88381,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8618,31.88381,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8712,31.8838,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8808,31.8838,103.73775,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8902,31.88379,103.73775,#N/A,#N/A,#N/A,#N/A,,,
4230132757,8997,31.88379,103.73776,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9091,31.88379,103.73777,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9186,31.88378,103.73777,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9281,31.88378,103.73778,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9376,31.88378,103.73778,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9470,31.88377,103.73779,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9565,31.88377,103.7378,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9659,31.88377,103.73781,#N/A,#N/A,#N/A,#N/A,,,
